StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Text / Graphic,q1.1,q1.2,q1.3,q1.3_3_TEXT,q1.4,q1.4_8_TEXT,q1.5,q1.6,q1.7,q1.7_9_TEXT,q1.8,q1.8_12_TEXT,q1.9,q1.10,q1.10_17_TEXT,q2.1,q2.1_6_TEXT,q2.1_8_TEXT,q2.1_10_TEXT,q2.2,q2.3,q2.4,q2.4_6_TEXT,q2.5_1,q2.5_2,q2.5_3,q2.5_4,q3.1,q3.1_1_TEXT,q3.2.1_1,q3.2.1_2,q3.2.1_3,q3.2.1_4,q3.2.2_1,q3.2.2_2,q4.1,q4.2,q4.2_9_TEXT,q4.3,q4.4,q4.5,q4.6.1_1,q4.6.1_2,q4.6.1_3,q4.6.1_4,q4.6.1_5,q4.6.1_6,q4.6.1_7,q4.6.2_1,q4.6.2_2,q4.6.2_3,q4.6.2_4,q4.6.2_5,q4.6.2_6,q4.7,q5.1_1,q5.1_2,q5.1_3,q5.1_4,q5.2,q5.2_11_TEXT,q5.3,q5.3_7_TEXT
12/06/2025 02:53,12/06/2025 04:26,IP Address,37,5565,FALSE,19/06/2025 04:26,R_2zp7y0qjlkCM7sY,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,45 to 54,Woman,,GCSE or A-levels,,"£50,000 to £100,000",5 to 20 ha.,Farming landowner ,,Cropping: Horticulture,,< 10%,Country Stewardships (CS) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2025 07:42,12/06/2025 07:45,IP Address,3,161,FALSE,19/06/2025 07:45,R_27rgVzY2w6NEmDQ,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2025 16:09,19/06/2025 16:29,IP Address,100,1234,TRUE,19/06/2025 16:29,R_80SevzPo40GL6XW,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Anglia,65 to 74,Man,,Other:,none,"< £10,000",100-250 ha.,Farming landowner ,,"Cereals,Other:",mid term  ski,< 10%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Capital Items",,"Flood ,Drought ",,,,Once a year,Somewhat affected,Mainly caused by climate change,,Very much,To some extent,Very much,To some extent,"Yes (If you wish, specify which kind of community partnership)",upper wen sum,3 - Agree,1 - Disagree,3 - Agree,1 - Disagree,,,No,,,Greater than 25%,Greater than 25%,Yes,,,,,,,,2- Neither agree nor disagree,2- Neither agree nor disagree,1- Disagree,3- Agree,3- Agree,2- Neither agree nor disagree,greater income,1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Maintenance costs,Limited time,Policy uncertainty,Tax constraints,Planning constraints,Other:","wether
",Other:,income ihtax
13/06/2025 01:16,13/06/2025 01:34,IP Address,3,1026,FALSE,20/06/2025 01:34,R_8r7d8vFnL52hEMi,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2025 13:42,22/06/2025 13:54,IP Address,100,713,TRUE,22/06/2025 13:54,R_8EZ47DNiaUiK5Qp,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South East,25 to 34,Woman,,"Further education – college course, diploma, trade training, etc.",,"£10,000 to £20,000",5 to 20 ha.,Farm worker,,Dairy,,10% to 20%,Landscape Recovery ,,"Drought ,Disease:",,,,Once every 2-3 years,Somewhat affected,Partly caused by climate change,,No,No,No,No,"Yes (If you wish, specify which kind of community partnership)",,1 - Disagree,1 - Disagree,1 - Disagree,1 - Disagree,,,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level",Wetland restoration,,5-10%,5-10%,No,1- Disagree,1- Disagree,1- Disagree,1- Disagree,1- Disagree,1- Disagree,1- Disagree,,,,,,,Dhncf,1- Disagree,1- Disagree,1- Disagree,1- Disagree,Maintenance costs,,"Funding for collaborative action,Landscape benefits don’t benefit my farm business",
16/06/2025 03:11,16/06/2025 03:12,IP Address,20,57,FALSE,23/06/2025 03:12,R_8NzdCUsZGdQdqhm,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Anglia,25 to 34,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£10,000 to £20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2025 12:55,16/06/2025 12:55,IP Address,3,18,FALSE,23/06/2025 12:55,R_8mJBX3lBMxhPAWt,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2025 15:17,23/06/2025 15:21,IP Address,100,283,TRUE,23/06/2025 15:21,R_2wFsVra6FSrkxZA,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,25 to 34,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£10,000 to £20,000",< 5 ha.,Farm business tenancy (FBT),,Cropping: Horticulture,,10% to 20%,Private sector - NGO,,"Flood ,Drought ",,,,More than once a year ,Severely affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",Cluster ,3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm","Agroforestry ,Hedgerows,Wildflower strips,Habitat creation",,1-5%,5-10%,Yes,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,,,,,,,"Community resilience, adaptation ",1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Implementation costs,Maintenance costs",,Funding for collaborative action,
23/06/2025 15:29,23/06/2025 15:37,IP Address,100,472,TRUE,23/06/2025 15:37,R_8dzRONYTCMM9LxV,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,North West,35 to 44,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",50 to 100 ha.,Farm business tenancy (FBT),,LFA grazing livestock,,> 60%,"Sustainable Farming Incentives (SFI),Farming in Protected Landscapes programme (FiPL),Private sector - NGO",,Drought ,,,,Once every 2-3 years,Somewhat affected,Mainly caused by climate change,,Very much,To some extent,Very much,Very much,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","Grassland restoration,Mob grazing,Hedgerows,Habitat creation",,Greater than 25%,5-10%,I don't know,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,3- Agree,3- Agree,3- Agree,,,,,,,Primarily feeling that I am doing something tangible in the face of biodiversity loss.,2- Neither agree nor disagree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tenancy constraints",,"Funding for collaborative action,Relationship with neighbours",
23/06/2025 16:25,23/06/2025 16:35,IP Address,100,600,TRUE,23/06/2025 16:35,R_82gqziFJZsgy4a7,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,West Midlands,35 to 44,Man,,"Further education – college course, diploma, trade training, etc.",,"< £10,000",< 5 ha.,Farm worker,,Other:,Vegetable and fruits ,< 10%,No funding,,"Drought ,Disease:,Other:",,, seasonal changes ,More than once a year ,Severely affected,,"Caused by human impact in our upper and lower climate, cloud seeding and geoengineering ",Very much,Very much,Very much,Very much,No,,,,,,3 - Agree,3 - Agree,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level","Forest creation,Grassland restoration,Agroforestry ,Hedgerows,Wildflower strips,Habitat creation",,10-25%,10-25%,Yes,1- Disagree,3- Agree,3- Agree,3- Agree,1- Disagree,3- Agree,3- Agree,,,,,,,It improves the environment which results in better outcome for nature and food production ,1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Policy uncertainty,Tax constraints,Planning constraints,Tenancy constraints",,"Funding for collaborative action,Relationship with neighbours",
17/06/2025 02:35,17/06/2025 02:42,IP Address,20,414,FALSE,24/06/2025 02:42,R_2CH4DmekuvvFJop,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,35 to 44,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2025 02:51,17/06/2025 02:51,IP Address,3,19,FALSE,24/06/2025 02:51,R_2UHq08VwqA1bDGh,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2025 02:58,17/06/2025 03:04,IP Address,0,382,FALSE,24/06/2025 03:04,R_2JlT7UL3uHsaBnH,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2025 03:23,24/06/2025 03:29,IP Address,100,339,TRUE,24/06/2025 03:29,R_2krTdhZfEryZSdX,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,Scotland,35 to 44,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£10,000 to £20,000",< 5 ha.,Farm worker,,Cropping: Horticulture,,40% to 50%,Other private company,,"Drought ,Pests:",,,,Once a year,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,Very much,Very much,No,,,,,,3 - Agree,3 - Agree,"Yes – Individually, on my farm","Agroforestry ,Hedgerows,Wildflower strips,Habitat creation",,10-25%,10-25%,Yes,1- Disagree,3- Agree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,3- Agree,,,,,,,Improved soil health and biodiversity ,1- Disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Skills/training,Limited time,Tenancy constraints",,"Funding for collaborative action,Unequal contribution of resources from landscape-level partners",
24/06/2025 03:42,24/06/2025 03:51,IP Address,100,541,TRUE,24/06/2025 03:51,R_8B6y1Y4mtFNPZoR,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,35 to 44,Man,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",20 to 50 ha.,Farming landowner ,,Lowland grazing livestock,,50% to 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ",,"Drought ,Disease:,Pests:",Schmalenburg,"Rabbit, deer and fox",,Once a year,Somewhat affected,Partly caused by climate change,,To some extent,To some extent,To some extent,To some extent,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm","Mob grazing,Agroforestry ,Hedgerows,Habitat creation",,Greater than 25%,Greater than 25%,I don't know,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,1- Disagree,3- Agree,2- Neither agree nor disagree,1- Disagree,,,,,,,Improved health of the ecosystem within the farming landscape leading to a more resilient landscape which is better able to deal with extremes of conditions and actions. ,1- Disagree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tax constraints,Planning constraints",,"Funding for collaborative action,Relationship with neighbours,Unequal contribution of resources from landscape-level partners",
24/06/2025 04:10,24/06/2025 04:28,IP Address,100,1098,TRUE,24/06/2025 04:28,R_2mETkCk3r5W5xRv,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,45 to 54,Man,,"Further education – college course, diploma, trade training, etc.",,"£20,000 to £50,000",< 5 ha.,Farming landowner ,,"Cropping: Horticulture,Lowland grazing livestock,Specialist pigs,Specialist poultry,Mixed,Other:",Tree nursery ,10% to 20%,"Other private company,Other:",Highways grant -accessible compost toilet.....  rivers authority great crested newt pond,Drought ,,,,More than once a year ,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,To some extent,To some extent,"Yes (If you wish, specify which kind of community partnership)",Coop.... Ecological Land Cooperative ,3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm","Wetland restoration,Grassland restoration,Mob grazing,Agroforestry ,Hedgerows,Habitat creation,Other:",Pond ,Greater than 25%,Greater than 25%,Yes,1- Disagree,3- Agree,3- Agree,3- Agree,1- Disagree,3- Agree,3- Agree,,,,,,,Soil capturing carbon... less rain runoff...healthier plants means healthier animals... higher nutrient food.... more wildlife means healthier ecosystem... on and on ..... ,3 - Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Tenancy constraints",,"Funding for collaborative action,Relationship with neighbours",
24/06/2025 03:52,24/06/2025 04:30,IP Address,100,2284,TRUE,24/06/2025 04:30,R_80eFCv9b0rGR9Pl,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,Scotland,25 to 34,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£50,000 to £100,000",>250 ha,Farming landowner ,,"Cereals,Dairy",,30% to 40%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ",,Drought ,,,,Once every 2-3 years,Somewhat affected,Mainly caused by climate change,,To some extent,To some extent,No,No,No,,,,,,3 - Agree,3 - Agree,No,,,1-5%,5-10%,I don't know,,,,,,,,1- Disagree,3- Agree,3- Agree,3- Agree,1- Disagree,2- Neither agree nor disagree,"Using the four ecosystem processes (mineral, sunlight, nutrient and water) to generate healthier soils",1- Disagree,1- Disagree,3 - Agree,1- Disagree,"Skills/training,Limited time,Data availability - unclear on the benefits,Tenancy constraints",,Funding for collaborative action,
24/06/2025 04:30,24/06/2025 04:48,IP Address,100,1121,TRUE,24/06/2025 04:48,R_86f0XMeZtymJrBA,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South West,55 to 64,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",< 5 ha.,Farming landowner ,,"Cropping: Horticulture,Specialist pigs,Specialist poultry,Other:",Apple tree nursery ,< 10%,Other:,National Highways - Compost Accessible Toilets; Somerset Rivers Authority - trees & hedges & FWAG Great Crested Newt Pond,"Flood ,Drought ,Pests:",,,,Once every 2-3 years,Somewhat affected,Mainly caused by climate change,,To some extent,No,No,No,"Yes (If you wish, specify which kind of community partnership)",Ecological Land Cooperative ,2 - Neither agree nor disagree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level","Mob grazing,Agroforestry ,Hedgerows,Wildflower strips,Habitat creation",,Greater than 25%,Greater than 25%,Yes,1- Disagree,3- Agree,3- Agree,1- Disagree,1- Disagree,3- Agree,2- Neither agree nor disagree,,,,,,,"Imp. Soil quality, imp nature - more diverse number of plants birds animals insects, solutions to climate changes, greater productivity,  premium prices, greater community involvement, healthier society, less strain on services, better nutrient dense foods, downfall of the supermarkets ",2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Skills/training,Policy uncertainty",,Other:,Education  and financial incentives 
17/06/2025 06:21,17/06/2025 06:29,IP Address,40,449,FALSE,24/06/2025 06:29,R_8rMHqH63lrdg56N,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,Scotland,55 to 64,Woman,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",20 to 50 ha.,Farming landowner ,,"LFA grazing livestock,Other:","rewilding? currently ungrazed, stock probably on soon",> 60%,Other:,New entrant - awaiting AECS decision,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2025 07:09,24/06/2025 07:25,IP Address,100,976,TRUE,24/06/2025 07:25,R_20411d3kVzTRomR,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Anglia,55 to 64,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£10,000 to £20,000",< 5 ha.,Other:,Agricultural student and business coach/consultant ,Other:,Regenerative Agriculture practices ,< 10%,No funding,,None,,,,,,Not at all caused by climate change,,To some extent,To some extent,To some extent,To some extent,No,,,,,,3 - Agree,3 - Agree,No,,,Greater than 25%,Greater than 25%,Yes,,,,,,,,1- Disagree,3- Agree,3- Agree,1- Disagree,1- Disagree,3- Agree,"Farming is subject to ""production"" metrics and treated like a ""factory""
Many of the ""climate"" issues and human disease issues can be solved by eliminating the pesticides, artificial fertilisers, GM seeds etc.
Nature is our blueprint and template for sustainable food production.  The ""old"" ways of farming e.g. rotating crops, working with the seasons and allowing natural pests to exterminate weeds etc takes time but it works
The soil is weakened and depleted by the external application of slurry, artificial fertilisers etc
Removal of trees and hedges to allow huge mass production machinery to easily manoeuvre has created vast deserts of farm fields allowing the rich topsoil to be blown or washed away and creating compacted surfaces which repel water means drought conditions happen faster.
Inadequate water systems capturing rain water in winter for use during dryer months.
The compacted soil just floods in winter and doesn't enable the earth to maintain moisture
Similarly the removal of trees and hedges provides no shelter for animals or shade for hedgerow plant and animal diversity
The pesticide companies, artificial fertiliser companies etc need to stop interfering in the natural cycles ✋️ 
They need to start understanding nature and supporting the earth to return to.the sustainable blueprint we had before industrial food production
Education at every level - local food cooperative - people buying from farm shops - ""big food"" banned from making farmers plough whole harvests into the ground because of their greed
The whole end to end system requires radical change
Farmers need support - not scorn
Farmers need gratitude- not family farm taxes
People need to reconnect to the earth and what they eat - understand the source and be encouraged to grow their own too.",1- Disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tax constraints,Planning constraints,Tenancy constraints,Other:","Lack of education, understanding, connection to the land, inadequate appreciation and support for farmers
Greedy development companies taking greenbelt to build
Parliament with no understanding or care of the land ","Funding for collaborative action,Relationship with neighbours,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
24/06/2025 07:32,24/06/2025 07:44,IP Address,100,667,TRUE,24/06/2025 07:44,R_2iU4mtZ7fLS4lIU,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Midlands,35 to 44,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",100-250 ha.,Farming landowner ,,"Cereals,Lowland grazing livestock,Specialist pigs,Specialist poultry,Mixed",,50% to 60%,"Country Stewardships (CS) ,Private sector - Water company",,None,,,,,,Mainly caused by climate change,Man has contributed to these elements too with the use of fossil fuels and over development ,Very much,To some extent,Very much,Very much,"Yes (If you wish, specify which kind of community partnership)",We have our own CIC where we offer field to fork education and share information with other community groups,3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm","Grassland restoration,Hedgerows,Wildflower strips,Habitat creation",,5-10%,1-5%,Yes,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,3- Agree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,,,,,,,"Improved biodiversity, improved soil quality, more people can appreciate and understand how we farm in conjunction with nature",2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,"Implementation costs,Maintenance costs,Skills/training,Land use conflicts with food production",,"Funding for collaborative action,Other:","Sometimes it is difficult to create collaborative action with neighbors as we all have so much to deal with and prioritise. Having pilot projects that inspire others, no necessarily clusters, should be promoted"
17/06/2025 02:53,17/06/2025 07:55,IP Address,0,18080,FALSE,24/06/2025 07:55,R_2Qh06J0I7jTVudC,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2025 07:46,24/06/2025 08:00,IP Address,100,809,TRUE,24/06/2025 08:00,R_84IcFvchfiIplHm,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,Yorkshire and Humber,45 to 54,Man,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£50,000 to £100,000",100-250 ha.,Farming landowner ,,LFA grazing livestock,,50% to 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Countryside Stewardships Higher Tier (CSHT),Farming in Protected Landscapes programme (FiPL),Other:",Grow Back Greener / Rivers Trust funding,"Flood ,Drought ",,,,More than once a year ,Not affected at all,Partly caused by climate change,We have always suffered flooding and excessive rain - is it climate change (probably) or natural cycles? ,To some extent,To some extent,To some extent,To some extent,"Yes (If you wish, specify which kind of community partnership)",Very loosely,3 - Agree,2 - Neither agree nor disagree,3 - Agree,2 - Neither agree nor disagree,,,"Yes – Individually, on my farm,Yes – In collaboration, at the landscape level","Wetland restoration,Grassland restoration,Hedgerows,Habitat creation",,Greater than 25%,Greater than 25%,Yes,1- Disagree,3- Agree,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,,,,,,,Public perception / supply chain appeasement / soil quality / water quality / land stabilisation / reduced flood risk down stream etc. ,2- Neither agree nor disagree,1- Disagree,1- Disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tax constraints,Planning constraints,Tenancy constraints,Other:",So much uncertainty right now. No apparent Defra support and no sign of green finance ,"Funding for collaborative action,Relationship with neighbours,Other:",Knowledge & skills to implement change 
24/06/2025 09:04,24/06/2025 09:09,IP Address,100,293,TRUE,24/06/2025 09:09,R_8Xo0xB30RyMccwj,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Midlands,35 to 44,Woman,,GCSE or A-levels,,"£100,000 to £200,000",< 5 ha.,"Farming landowner ,Other:",,Mixed,,> 60%,No funding,,"Flood ,Drought ,Wildfire,Disease:",,,,More than once a year ,Somewhat affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,No,,,,,,3 - Agree,3 - Agree,No,,,5-10%,10-25%,Yes,,,,,,,,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,3- Agree,Working in harmony with the land ,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,"Access to knowledge on implementation,Implementation costs,Skills/training,Limited time,Data availability - unclear on the benefits,Land use conflicts with food production,Policy uncertainty,Tax constraints,Planning constraints,Tenancy constraints",,"Funding for collaborative action,Relationship with neighbours,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
24/06/2025 09:50,24/06/2025 10:06,IP Address,100,930,TRUE,24/06/2025 10:06,R_8gMIfLGmr2SWXHk,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Midlands,65 to 74,Man,,"Further education – college course, diploma, trade training, etc.",,"> £200,000",>250 ha,Other:,Farming entrepreneur,"Cereals,Lowland grazing livestock,Mixed,Other:","Pulses, trees, solar, plant oils, ",> 60%,"Sustainable Farming Incentives (SFI),Country Stewardships (CS) ,Landscape Recovery ,Capital Items,Farming in Protected Landscapes programme (FiPL),Other:",Self funding ,"Flood ,Drought ,Disease:,Pests:,Other:",TB ,Friendly ones ,"Staff shortage, lack of return on investment ",Once a year,Somewhat affected,,Always been seasonal weather patterns and desease ,To some extent,To some extent,To some extent,To some extent,"Yes (If you wish, specify which kind of community partnership)","PFL, NFFN, Lincolnshire Wolds ",3 - Agree,3 - Agree,3 - Agree,3 - Agree,,,"Yes – Individually, on my farm","River restoration,Forest reforestation or restoration,Forest creation,Wetland restoration,Grassland restoration,Mob grazing,Agroforestry ,Hedgerows,Wildflower strips,Habitat creation,Other:",Real time monitoring ,Greater than 25%,Greater than 25%,Yes,2- Neither agree nor disagree,3- Agree,2- Neither agree nor disagree,3- Agree,1- Disagree,3- Agree,3- Agree,,,,,,,More resilient farming ,3 - Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,2- Neither agree nor disagree,"Access to knowledge on implementation,Skills/training,Policy uncertainty,Tax constraints,Planning constraints,Other:","Market for products
Taking the public on the journey 
Education
Mentorship

","Relationship with neighbours,Other:",Having similar objectives 
24/06/2025 15:30,24/06/2025 15:36,IP Address,100,365,TRUE,24/06/2025 15:36,R_2DOvRMF6LX9bO8O,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South East,35 to 44,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£20,000 to £50,000",5 to 20 ha.,Family member,,Mixed,,> 60%,"Sustainable Farming Incentives (SFI),Farming in Protected Landscapes programme (FiPL)",,"Flood ,Drought ",,,,Once a year,Somewhat affected,Mainly caused by climate change,,Very much,Very much,Very much,Very much,No,,,,,,3 - Agree,3 - Agree,"Yes – Individually, on my farm","Mob grazing,Hedgerows,Wildflower strips",,Greater than 25%,Greater than 25%,Yes,1- Disagree,3- Agree,3- Agree,3- Agree,2- Neither agree nor disagree,3- Agree,3- Agree,,,,,,,Everything!,2- Neither agree nor disagree,2- Neither agree nor disagree,3 - Agree,1- Disagree,"Access to knowledge on implementation,Maintenance costs,Land use conflicts with food production,Planning constraints,Tenancy constraints",,"Funding for collaborative action,Landscape benefits don’t benefit my farm business,Unequal contribution of resources from landscape-level partners",
17/06/2025 14:04,17/06/2025 15:43,IP Address,40,5923,FALSE,24/06/2025 15:43,R_8R1K2cnkyI8Cgxt,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,Scotland,45 to 54,Woman,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£20,000 to £50,000",5 to 20 ha.,Farming landowner ,,"Cropping: Horticulture,Lowland grazing livestock",,40% to 50%,No funding,,Drought ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2025 22:41,17/06/2025 22:42,IP Address,20,82,FALSE,24/06/2025 22:42,R_8htsZKD5IWZUtEt,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,East Anglia,65 to 74,Woman,,"Higher education – postgraduate level (e.g. MA, MSc, PhD) ",,"£20,000 to £50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2025 00:48,25/06/2025 01:05,IP Address,100,1019,TRUE,25/06/2025 01:05,R_2lW86obvS3jKesN,anonymous,EN,,I have read and understood the information provided and I agree to take part in this research project,South East,25 to 34,Woman,,"Higher education – undergraduate level (e.g. BA, BSc) ",,"£10,000 to £20,000",< 5 ha.,Farm worker,,Cropping: Horticulture,,10% to 20%,No funding,,"Flood ,Other:",,,Have not been on this farm long enough to know ,Once a year,Severely affected,Partly caused by climate change,,Very much,Very much,Very much,Very much,No,,,,,,3 - Agree,2 - Neither agree nor disagree,"Yes – Individually, on my farm",Wildflower strips,,Greater than 25%,10-25%,I don't know,1- Disagree,3- Agree,3- Agree,3- Agree,2- Neither agree nor disagree,2- Neither agree nor disagree,3- Agree,,,,,,,Being able to sustain farming and food production in the medium and long term. Reduced pests and disease. Better health and well-being for farm workers. Improved water and soil quality. If we want to sustain human life on Earth then looking after our ecology is vital. ,1- Disagree,1- Disagree,2- Neither agree nor disagree,1- Disagree,"Access to knowledge on implementation,Implementation costs,Maintenance costs,Skills/training,Limited time,Land use conflicts with food production,Policy uncertainty,Planning constraints,Other:","We have such a low income for the amount of work we do, it’s hard to find the headspace and finances to consider adapting and experimenting with new nature based solutions. ","Funding for collaborative action,Other:",Some farmers are being kicked off their land because the land owner sees more financial benefits to rewilding than growing food. We need both to be happening together amd farmers to be resourced to prioritise nature based solutions 
